2026-04-26 00:20:16.621 | DEBUG    | freqtrade_gui.services.process_run_manager | run ba19f093 stdout: '┡━━━━━━━━━━━╇━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━'
2026-04-26 00:20:19.462 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,461 - freqtrade.resolvers.strategy_resolver - INFO - Overrid'
2026-04-26 00:20:19.462 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,462 - freqtrade.resolvers.strategy_resolver - INFO - Overrid'
2026-04-26 00:20:19.463 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,462 - freqtrade.resolvers.strategy_resolver - INFO - Overrid'
2026-04-26 00:20:19.464 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,463 - freqtrade.resolvers.strategy_resolver - INFO - Overrid'
2026-04-26 00:20:19.464 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,464 - freqtrade.resolvers.strategy_resolver - INFO - Overrid'
2026-04-26 00:20:19.465 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,464 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.465 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '0.2878156355986399}\n'
2026-04-26 00:20:19.466 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,465 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.466 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,466 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.467 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,466 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.467 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,467 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.468 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,468 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.469 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,468 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.469 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,469 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.470 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,469 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.471 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,470 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.471 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: "'stoploss_on_exchange_interval': 60}\n"
2026-04-26 00:20:19.471 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,471 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.472 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,471 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.473 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,472 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
2026-04-26 00:20:19.473 | DEBUG    | freqtrade_gui.services.process_run_manager | run adff28f9 stderr: '2026-04-26 00:20:19,473 - freqtrade.resolvers.strategy_resolver - INFO - Strateg'
